"team_id","nfl_season","nfl_week","games_played","wins","losses","ties","win_pct","point_diff_per_game","offensive_epa_per_play","aggregated_at"
"PIT","2026","1","17","8","9","0","0.5000","-0.1875","-0.0013","2026-05-05T20:17:10Z"
"SEA","2026","1","17","10","7","0","0.6176","2.8125","0.0187","2026-05-05T20:17:10Z"
"SF","2026","1","17","10","7","0","0.6176","2.8125","0.0187","2026-05-05T20:17:10Z"
"TB","2026","1","17","8","9","0","0.5000","-0.1875","-0.0013","2026-05-05T20:17:10Z"
"TEN","2026","1","17","6","11","0","0.3824","-3.1875","-0.0213","2026-05-05T20:17:10Z"
"WAS","2026","1","17","8","9","0","0.4412","-1.6875","-0.0112","2026-05-05T20:17:10Z"
"ARI","2017","1","14","8","6","0","0.5714","-1.2143","0.0100","2026-05-08T18:32:52Z"
"ATL","2017","1","16","10","6","0","0.6250","2.3750","0.0300","2026-05-08T18:32:52Z"
"BAL","2017","1","15","8","7","0","0.5333","5.2667","0.0100","2026-05-08T18:32:52Z"
"BUF","2017","1","15","8","7","0","0.5333","-5.1333","0.0100","2026-05-08T18:32:52Z"
"CAR","2017","1","16","11","5","0","0.6875","2.2500","0.0400","2026-05-08T18:32:52Z"
"CHI","2017","1","16","5","11","0","0.3125","-3.5000","-0.0200","2026-05-08T18:32:52Z"
"CIN","2017","1","16","7","9","0","0.4375","-3.6875","0.0000","2026-05-08T18:32:52Z"
"CLE","2017","1","16","0","16","0","0.0000","-11.0000","-0.0700","2026-05-08T18:32:52Z"
"DAL","2017","1","14","8","6","0","0.5714","1.7143","0.0100","2026-05-08T18:32:52Z"
"DEN","2017","1","14","4","10","0","0.2857","-6.5714","-0.0300","2026-05-08T18:32:52Z"
"DET","2017","1","16","9","7","0","0.5625","2.1250","0.0200","2026-05-08T18:32:52Z"
"GB","2017","1","16","7","9","0","0.4375","-4.0000","0.0000","2026-05-08T18:32:52Z"
"HOU","2017","1","15","4","11","0","0.2667","-4.8000","-0.0300","2026-05-08T18:32:52Z"
"IND","2017","1","15","4","11","0","0.2667","-6.9333","-0.0300","2026-05-08T18:32:52Z"
"JAX","2017","1","15","10","5","0","0.6667","10.6000","0.0300","2026-05-08T18:32:52Z"
"KC","2017","1","14","9","5","0","0.6429","4.7143","0.0200","2026-05-08T18:32:52Z"
"LAC","2017","1","14","7","7","0","0.5000","4.4286","0.0000","2026-05-08T18:32:52Z"
"LAR","2017","1","0","0","0","0","0.0000","0.0000","-0.0700","2026-05-08T18:32:52Z"
"LV","2017","1","0","0","0","0","0.0000","0.0000","-0.0700","2026-05-08T18:32:52Z"
"MIA","2017","1","15","6","9","0","0.4000","-7.2667","-0.0100","2026-05-08T18:32:52Z"
"MIN","2017","1","15","12","3","0","0.8000","7.5333","0.0500","2026-05-08T18:32:52Z"
"NE","2017","1","15","12","3","0","0.8000","9.1333","0.0500","2026-05-08T18:32:52Z"
"NO","2017","1","15","11","4","0","0.7333","8.5333","0.0400","2026-05-08T18:32:52Z"
"NYG","2017","1","14","3","11","0","0.2143","-7.2143","-0.0400","2026-05-08T18:32:52Z"
"NYJ","2017","1","15","5","10","0","0.3333","-3.9333","-0.0200","2026-05-08T18:32:52Z"
"PHI","2017","1","14","11","3","0","0.7857","10.3571","0.0400","2026-05-08T18:32:52Z"
"PIT","2017","1","16","13","3","0","0.8125","6.1250","0.0600","2026-05-08T18:32:52Z"
"SEA","2017","1","14","8","6","0","0.5714","4.5000","0.0100","2026-05-08T18:32:52Z"
"SF","2017","1","14","5","9","0","0.3571","-5.0714","-0.0200","2026-05-08T18:32:52Z"
"TB","2017","1","16","5","11","0","0.3125","-2.9375","-0.0200","2026-05-08T18:32:52Z"
"TEN","2017","1","14","9","5","0","0.6429","-0.5714","0.0200","2026-05-08T18:32:52Z"
"WAS","2017","1","14","5","9","0","0.3571","-5.0000","-0.0200","2026-05-08T18:32:52Z"
"ARI","2018","1","13","3","10","0","0.2308","-10.9231","-0.0403","2026-05-08T18:32:55Z"
"ATL","2018","1","16","7","9","0","0.4375","-0.5625","-0.0003","2026-05-08T18:32:55Z"
"BAL","2018","1","15","9","6","0","0.6000","5.6667","0.0197","2026-05-08T18:32:55Z"
"BUF","2018","1","16","6","10","0","0.3750","-6.5625","-0.0103","2026-05-08T18:32:55Z"
"CAR","2018","1","16","7","9","0","0.4375","-0.3750","-0.0003","2026-05-08T18:32:55Z"
"CHI","2018","1","15","11","4","0","0.7333","8.6000","0.0397","2026-05-08T18:32:55Z"
"CIN","2018","1","15","5","10","0","0.3333","-6.7333","-0.0203","2026-05-08T18:32:55Z"
"CLE","2018","1","15","7","7","1","0.5000","-2.0000","0.0047","2026-05-08T18:32:55Z"
"DAL","2018","1","16","10","6","0","0.6250","0.9375","0.0297","2026-05-08T18:32:55Z"
"DEN","2018","1","13","5","8","0","0.3846","-0.3846","-0.0203","2026-05-08T18:32:55Z"
"DET","2018","1","15","6","9","0","0.4000","-1.4667","-0.0103","2026-05-08T18:32:55Z"
"GB","2018","1","15","6","8","1","0.4333","-1.4667","-0.0053","2026-05-08T18:32:55Z"
"HOU","2018","1","16","11","5","0","0.6875","5.3750","0.0397","2026-05-08T18:32:55Z"
"IND","2018","1","15","9","6","0","0.6000","5.0000","0.0197","2026-05-08T18:32:55Z"
"JAX","2018","1","16","5","11","0","0.3125","-4.4375","-0.0203","2026-05-08T18:32:55Z"
"KC","2018","1","13","10","3","0","0.7692","8.3077","0.0297","2026-05-08T18:32:55Z"
"LAC","2018","1","13","10","3","0","0.7692","6.2308","0.0297","2026-05-08T18:32:55Z"
"LAR","2018","1","0","0","0","0","0.0000","0.0000","-0.0703","2026-05-08T18:32:55Z"
"LV","2018","1","0","0","0","0","0.0000","0.0000","-0.0703","2026-05-08T18:32:55Z"
"MIA","2018","1","15","6","9","0","0.4000","-8.1333","-0.0103","2026-05-08T18:32:55Z"
"MIN","2018","1","15","8","6","1","0.5667","1.7333","0.0147","2026-05-08T18:32:55Z"
"NE","2018","1","16","11","5","0","0.6875","6.9375","0.0397","2026-05-08T18:32:55Z"
"NO","2018","1","15","12","3","0","0.8000","9.4000","0.0497","2026-05-08T18:32:55Z"
"NYG","2018","1","16","5","11","0","0.3125","-2.6875","-0.0203","2026-05-08T18:32:55Z"
"NYJ","2018","1","16","4","12","0","0.2500","-6.7500","-0.0303","2026-05-08T18:32:55Z"
"PHI","2018","1","15","8","7","0","0.5333","0.8000","0.0097","2026-05-08T18:32:55Z"
"PIT","2018","1","15","9","5","1","0.6333","4.7333","0.0247","2026-05-08T18:32:55Z"
"SEA","2018","1","13","9","4","0","0.6923","4.9231","0.0197","2026-05-08T18:32:55Z"
"SF","2018","1","13","3","10","0","0.2308","-6.0769","-0.0403","2026-05-08T18:32:55Z"
"TB","2018","1","16","5","11","0","0.3125","-4.2500","-0.0203","2026-05-08T18:32:55Z"
"TEN","2018","1","16","9","7","0","0.5625","0.4375","0.0197","2026-05-08T18:32:55Z"
"WAS","2018","1","16","7","9","0","0.4375","-4.8750","-0.0003","2026-05-08T18:32:55Z"
"ARI","2019","1","14","5","8","1","0.3929","-3.3571","-0.0150","2026-05-08T18:32:57Z"
"ATL","2019","1","15","7","8","0","0.4667","0.6000","0.0000","2026-05-08T18:32:57Z"
"BAL","2019","1","15","13","2","0","0.8667","14.0000","0.0600","2026-05-08T18:32:57Z"
"BUF","2019","1","16","10","6","0","0.6250","3.4375","0.0300","2026-05-08T18:32:57Z"
"CAR","2019","1","15","5","10","0","0.3333","-8.4667","-0.0200","2026-05-08T18:32:57Z"
"CHI","2019","1","14","8","6","0","0.5714","-0.3571","0.0100","2026-05-08T18:32:57Z"
"CIN","2019","1","14","2","12","0","0.1429","-8.5714","-0.0500","2026-05-08T18:32:57Z"
"CLE","2019","1","15","6","9","0","0.4000","-3.4000","-0.0100","2026-05-08T18:32:57Z"
"DAL","2019","1","15","7","8","0","0.4667","6.0000","0.0000","2026-05-08T18:32:57Z"
"DEN","2019","1","14","6","8","0","0.4286","-1.9286","-0.0100","2026-05-08T18:32:57Z"
"DET","2019","1","15","3","11","1","0.2333","-5.0000","-0.0350","2026-05-08T18:32:57Z"
"GB","2019","1","15","12","3","0","0.8000","3.0000","0.0500","2026-05-08T18:32:57Z"
"HOU","2019","1","15","9","6","0","0.6000","-0.6667","0.0200","2026-05-08T18:32:57Z"
"IND","2019","1","15","7","8","0","0.4667","-0.3333","0.0000","2026-05-08T18:32:57Z"
"JAX","2019","1","15","5","10","0","0.3333","-6.7333","-0.0200","2026-05-08T18:32:57Z"
"KC","2019","1","14","10","4","0","0.7143","6.7143","0.0300","2026-05-08T18:32:57Z"
"LAC","2019","1","14","5","9","0","0.3571","0.0714","-0.0200","2026-05-08T18:32:57Z"
"LAR","2019","1","0","0","0","0","0.0000","0.0000","-0.0700","2026-05-08T18:32:57Z"
"LV","2019","1","0","0","0","0","0.0000","0.0000","-0.0700","2026-05-08T18:32:57Z"
"MIA","2019","1","16","5","11","0","0.3125","-11.7500","-0.0200","2026-05-08T18:32:57Z"
"MIN","2019","1","15","9","6","0","0.6000","5.6000","0.0200","2026-05-08T18:32:57Z"
"NE","2019","1","16","12","4","0","0.7500","12.1875","0.0500","2026-05-08T18:32:57Z"
"NO","2019","1","15","13","2","0","0.8667","9.0000","0.0600","2026-05-08T18:32:57Z"
"NYG","2019","1","16","4","12","0","0.2500","-6.8750","-0.0300","2026-05-08T18:32:57Z"
"NYJ","2019","1","15","6","9","0","0.4000","-7.6000","-0.0100","2026-05-08T18:32:57Z"
"PHI","2019","1","16","9","7","0","0.5625","1.9375","0.0200","2026-05-08T18:32:57Z"
"PIT","2019","1","15","7","8","0","0.4667","-1.2667","0.0000","2026-05-08T18:32:57Z"
"SEA","2019","1","14","10","4","0","0.7143","1.5714","0.0300","2026-05-08T18:32:57Z"
"SF","2019","1","14","11","3","0","0.7857","10.9286","0.0400","2026-05-08T18:32:57Z"
"TB","2019","1","15","6","9","0","0.4000","-0.4000","-0.0100","2026-05-08T18:32:57Z"
"TEN","2019","1","15","8","7","0","0.5333","3.3333","0.0100","2026-05-08T18:32:57Z"
"WAS","2019","1","16","3","13","0","0.1875","-10.5625","-0.0400","2026-05-08T18:32:57Z"
"ARI","2020","1","14","8","6","0","0.5714","4.5714","0.0050","2026-05-08T18:33:00Z"
"ATL","2020","1","16","4","12","0","0.2500","-1.1250","-0.0350","2026-05-08T18:33:00Z"
"BAL","2020","1","16","11","5","0","0.6875","10.3125","0.0350","2026-05-08T18:33:00Z"
"BUF","2020","1","15","12","3","0","0.8000","8.2000","0.0450","2026-05-08T18:33:00Z"
"CAR","2020","1","16","5","11","0","0.3125","-3.2500","-0.0250","2026-05-08T18:33:00Z"
"CHI","2020","1","15","8","7","0","0.5333","1.0667","0.0050","2026-05-08T18:33:00Z"
"CIN","2020","1","16","4","11","1","0.2812","-7.0625","-0.0300","2026-05-08T18:33:00Z"
"CLE","2020","1","16","11","5","0","0.6875","-0.6875","0.0350","2026-05-08T18:33:00Z"
"DAL","2020","1","15","6","9","0","0.4000","-5.0000","-0.0150","2026-05-08T18:33:00Z"
"DEN","2020","1","16","5","11","0","0.3125","-7.6875","-0.0250","2026-05-08T18:33:00Z"
"DET","2020","1","16","5","11","0","0.3125","-8.8750","-0.0250","2026-05-08T18:33:00Z"
"GB","2020","1","16","13","3","0","0.8125","8.7500","0.0550","2026-05-08T18:33:00Z"
"HOU","2020","1","16","4","12","0","0.2500","-5.0000","-0.0350","2026-05-08T18:33:00Z"
"IND","2020","1","16","11","5","0","0.6875","5.5625","0.0350","2026-05-08T18:33:00Z"
"JAX","2020","1","16","1","15","0","0.0625","-11.6250","-0.0650","2026-05-08T18:33:00Z"
"KC","2020","1","16","14","2","0","0.8750","6.9375","0.0650","2026-05-08T18:33:00Z"
"LAC","2020","1","16","7","9","0","0.4375","-2.6250","-0.0050","2026-05-08T18:33:00Z"
"LAR","2020","1","0","0","0","0","0.0000","0.0000","-0.0750","2026-05-08T18:33:00Z"
"LV","2020","1","16","8","8","0","0.5000","-2.7500","0.0050","2026-05-08T18:33:00Z"
"MIA","2020","1","15","9","6","0","0.6000","3.6667","0.0150","2026-05-08T18:33:00Z"
"MIN","2020","1","16","7","9","0","0.4375","-2.8125","-0.0050","2026-05-08T18:33:00Z"
"NE","2020","1","15","7","8","0","0.4667","-0.4000","-0.0050","2026-05-08T18:33:00Z"
"NO","2020","1","16","12","4","0","0.7500","9.0625","0.0450","2026-05-08T18:33:00Z"
"NYG","2020","1","15","6","9","0","0.4000","-4.6000","-0.0150","2026-05-08T18:33:00Z"
"NYJ","2020","1","15","1","14","0","0.0667","-14.4667","-0.0650","2026-05-08T18:33:00Z"
"PHI","2020","1","15","4","10","1","0.3000","-4.4000","-0.0300","2026-05-08T18:33:00Z"
"PIT","2020","1","16","12","4","0","0.7500","6.5000","0.0450","2026-05-08T18:33:00Z"
"SEA","2020","1","14","11","3","0","0.7857","6.0000","0.0350","2026-05-08T18:33:00Z"
"SF","2020","1","14","4","10","0","0.2857","-1.7857","-0.0350","2026-05-08T18:33:00Z"
"TB","2020","1","15","11","4","0","0.7333","9.3333","0.0350","2026-05-08T18:33:00Z"
"TEN","2020","1","16","11","5","0","0.6875","3.2500","0.0350","2026-05-08T18:33:00Z"
"WAS","2020","1","15","7","8","0","0.4667","1.7333","-0.0050","2026-05-08T18:33:00Z"
"ARI","2021","1","15","10","5","0","0.6667","4.8667","0.0203","2026-05-08T18:33:02Z"
"ATL","2021","1","17","7","10","0","0.4118","-8.5882","-0.0097","2026-05-08T18:33:02Z"
"BAL","2021","1","16","8","8","0","0.5000","-0.2500","0.0003","2026-05-08T18:33:02Z"
"BUF","2021","1","17","11","6","0","0.6471","11.4118","0.0303","2026-05-08T18:33:02Z"
"CAR","2021","1","17","5","12","0","0.2941","-5.8824","-0.0297","2026-05-08T18:33:02Z"
"CHI","2021","1","16","6","10","0","0.3750","-4.7500","-0.0197","2026-05-08T18:33:02Z"
"CIN","2021","1","17","10","7","0","0.5882","4.9412","0.0203","2026-05-08T18:33:02Z"
"CLE","2021","1","17","8","9","0","0.4706","-1.2941","0.0003","2026-05-08T18:33:02Z"
"DAL","2021","1","17","12","5","0","0.7059","10.1176","0.0403","2026-05-08T18:33:02Z"
"DEN","2021","1","17","7","10","0","0.4118","0.7647","-0.0097","2026-05-08T18:33:02Z"
"DET","2021","1","16","3","12","1","0.2188","-8.3125","-0.0447","2026-05-08T18:33:02Z"
"GB","2021","1","16","12","4","0","0.7500","4.4375","0.0403","2026-05-08T18:33:02Z"
"HOU","2021","1","16","4","12","0","0.2500","-9.7500","-0.0397","2026-05-08T18:33:02Z"
"IND","2021","1","16","9","7","0","0.5625","5.5625","0.0103","2026-05-08T18:33:02Z"
"JAX","2021","1","16","3","13","0","0.1875","-10.8750","-0.0497","2026-05-08T18:33:02Z"
"KC","2021","1","17","12","5","0","0.7059","6.8235","0.0403","2026-05-08T18:33:02Z"
"LAC","2021","1","17","9","8","0","0.5294","0.8824","0.0103","2026-05-08T18:33:02Z"
"LAR","2021","1","0","0","0","0","0.0000","0.0000","-0.0797","2026-05-08T18:33:02Z"
"LV","2021","1","17","10","7","0","0.5882","-3.8235","0.0203","2026-05-08T18:33:02Z"
"MIA","2021","1","17","9","8","0","0.5294","-1.8824","0.0103","2026-05-08T18:33:02Z"
"MIN","2021","1","16","8","8","0","0.5000","0.3750","0.0003","2026-05-08T18:33:02Z"
"NE","2021","1","17","10","7","0","0.5882","9.3529","0.0203","2026-05-08T18:33:02Z"
"NO","2021","1","17","9","8","0","0.5294","1.7059","0.0103","2026-05-08T18:33:02Z"
"NYG","2021","1","16","4","12","0","0.2500","-8.1875","-0.0397","2026-05-08T18:33:02Z"
"NYJ","2021","1","17","4","13","0","0.2353","-11.4118","-0.0397","2026-05-08T18:33:02Z"
"PHI","2021","1","17","9","8","0","0.5294","3.4706","0.0103","2026-05-08T18:33:02Z"
"PIT","2021","1","17","9","7","1","0.5588","-3.2353","0.0153","2026-05-08T18:33:02Z"
"SEA","2021","1","15","7","8","0","0.4667","3.2000","-0.0097","2026-05-08T18:33:02Z"
"SF","2021","1","15","8","7","0","0.5333","2.5333","0.0003","2026-05-08T18:33:02Z"
"TB","2021","1","16","13","3","0","0.8125","10.5000","0.0503","2026-05-08T18:33:02Z"
"TEN","2021","1","16","11","5","0","0.6875","3.3125","0.0303","2026-05-08T18:33:02Z"
"WAS","2021","1","17","7","10","0","0.4118","-5.8235","-0.0097","2026-05-08T18:33:02Z"
"ARI","2022","1","15","3","12","0","0.2000","-7.4000","-0.0494","2026-05-08T18:33:05Z"
"ATL","2022","1","16","7","9","0","0.4375","-1.0625","-0.0094","2026-05-08T18:33:05Z"
"BAL","2022","1","17","10","7","0","0.5882","2.0588","0.0206","2026-05-08T18:33:05Z"
"BUF","2022","1","15","12","3","0","0.8000","9.8667","0.0406","2026-05-08T18:33:05Z"
"CAR","2022","1","16","7","9","0","0.4375","-0.8125","-0.0094","2026-05-08T18:33:05Z"
"CHI","2022","1","17","3","14","0","0.1765","-8.0588","-0.0494","2026-05-08T18:33:05Z"
"CIN","2022","1","16","12","4","0","0.7500","6.0000","0.0406","2026-05-08T18:33:05Z"
"CLE","2022","1","17","7","10","0","0.4118","-1.1765","-0.0094","2026-05-08T18:33:05Z"
"DAL","2022","1","16","11","5","0","0.6875","7.0625","0.0306","2026-05-08T18:33:05Z"
"DEN","2022","1","16","5","11","0","0.3125","-2.1875","-0.0294","2026-05-08T18:33:05Z"
"DET","2022","1","17","9","8","0","0.5294","1.5294","0.0106","2026-05-08T18:33:05Z"
"GB","2022","1","16","7","9","0","0.4375","-0.8125","-0.0094","2026-05-08T18:33:05Z"
"HOU","2022","1","17","3","13","1","0.2059","-7.7059","-0.0444","2026-05-08T18:33:05Z"
"IND","2022","1","17","4","12","1","0.2647","-8.1176","-0.0344","2026-05-08T18:33:05Z"
"JAX","2022","1","17","9","8","0","0.5294","3.1765","0.0106","2026-05-08T18:33:05Z"
"KC","2022","1","16","13","3","0","0.8125","6.9375","0.0506","2026-05-08T18:33:05Z"
"LAC","2022","1","16","9","7","0","0.5625","-0.8750","0.0106","2026-05-08T18:33:05Z"
"LAR","2022","1","0","0","0","0","0.0000","0.0000","-0.0794","2026-05-08T18:33:05Z"
"LV","2022","1","16","6","10","0","0.3750","-1.3750","-0.0194","2026-05-08T18:33:05Z"
"MIA","2022","1","17","9","8","0","0.5294","-0.1176","0.0106","2026-05-08T18:33:05Z"
"MIN","2022","1","17","13","4","0","0.7647","-0.1765","0.0506","2026-05-08T18:33:05Z"
"NE","2022","1","17","8","9","0","0.4706","1.0000","0.0006","2026-05-08T18:33:05Z"
"NO","2022","1","16","6","10","0","0.3750","-1.3750","-0.0194","2026-05-08T18:33:05Z"
"NYG","2022","1","17","9","7","1","0.5588","-0.3529","0.0156","2026-05-08T18:33:05Z"
"NYJ","2022","1","17","7","10","0","0.4118","-1.1765","-0.0094","2026-05-08T18:33:05Z"
"PHI","2022","1","17","14","3","0","0.8235","7.8235","0.0606","2026-05-08T18:33:05Z"
"PIT","2022","1","17","9","8","0","0.5294","-2.2353","0.0106","2026-05-08T18:33:05Z"
"SEA","2022","1","15","7","8","0","0.4667","-0.0667","-0.0094","2026-05-08T18:33:05Z"
"SF","2022","1","15","11","4","0","0.7333","9.4000","0.0306","2026-05-08T18:33:05Z"
"TB","2022","1","16","7","9","0","0.4375","-3.0000","-0.0094","2026-05-08T18:33:05Z"
"TEN","2022","1","17","7","10","0","0.4118","-3.5882","-0.0094","2026-05-08T18:33:05Z"
"WAS","2022","1","17","8","8","1","0.5000","-1.2941","0.0056","2026-05-08T18:33:05Z"
"ARI","2023","1","15","4","11","0","0.2667","-5.6667","-0.0397","2026-05-08T18:33:08Z"
"ATL","2023","1","17","7","10","0","0.4118","-3.0588","-0.0097","2026-05-08T18:33:08Z"
"BAL","2023","1","16","12","4","0","0.7500","12.3125","0.0403","2026-05-08T18:33:08Z"
"BUF","2023","1","17","11","6","0","0.6471","8.2353","0.0303","2026-05-08T18:33:08Z"
"CAR","2023","1","17","2","15","0","0.1176","-10.5882","-0.0597","2026-05-08T18:33:08Z"
"CHI","2023","1","17","7","10","0","0.4118","-1.1176","-0.0097","2026-05-08T18:33:08Z"
"CIN","2023","1","16","8","8","0","0.5000","-1.3125","0.0003","2026-05-08T18:33:08Z"
"CLE","2023","1","16","11","5","0","0.6875","3.1875","0.0303","2026-05-08T18:33:08Z"
"DAL","2023","1","16","11","5","0","0.6875","10.6875","0.0303","2026-05-08T18:33:08Z"
"DEN","2023","1","17","8","9","0","0.4706","-3.2941","0.0003","2026-05-08T18:33:08Z"
"DET","2023","1","17","12","5","0","0.7059","3.8824","0.0403","2026-05-08T18:33:08Z"
"GB","2023","1","16","8","8","0","0.5000","1.0000","0.0003","2026-05-08T18:33:08Z"
"HOU","2023","1","17","10","7","0","0.5882","1.4118","0.0203","2026-05-08T18:33:08Z"
"IND","2023","1","16","9","7","0","0.5625","-0.8125","0.0103","2026-05-08T18:33:08Z"
"JAX","2023","1","17","9","8","0","0.5294","0.3529","0.0103","2026-05-08T18:33:08Z"
"KC","2023","1","17","11","6","0","0.6471","4.5294","0.0303","2026-05-08T18:33:08Z"
"LAC","2023","1","17","5","12","0","0.2941","-3.0588","-0.0297","2026-05-08T18:33:08Z"
"LAR","2023","1","0","0","0","0","0.0000","0.0000","-0.0797","2026-05-08T18:33:08Z"
"LV","2023","1","17","8","9","0","0.4706","0.0588","0.0003","2026-05-08T18:33:08Z"
"MIA","2023","1","17","11","6","0","0.6471","6.1765","0.0303","2026-05-08T18:33:08Z"
"MIN","2023","1","17","7","10","0","0.4118","-1.0588","-0.0097","2026-05-08T18:33:08Z"
"NE","2023","1","17","4","13","0","0.2353","-7.6471","-0.0397","2026-05-08T18:33:08Z"
"NO","2023","1","16","9","7","0","0.5625","5.1875","0.0103","2026-05-08T18:33:08Z"
"NYG","2023","1","16","6","10","0","0.3750","-8.7500","-0.0197","2026-05-08T18:33:08Z"
"NYJ","2023","1","17","7","10","0","0.4118","-5.1176","-0.0097","2026-05-08T18:33:08Z"
"PHI","2023","1","16","10","6","0","0.6250","-0.2500","0.0203","2026-05-08T18:33:08Z"
"PIT","2023","1","16","9","7","0","0.5625","-1.6875","0.0103","2026-05-08T18:33:08Z"
"SEA","2023","1","15","9","6","0","0.6000","-1.3333","0.0103","2026-05-08T18:33:08Z"
"SF","2023","1","15","11","4","0","0.7333","12.4667","0.0303","2026-05-08T18:33:08Z"
"TB","2023","1","17","9","8","0","0.5294","1.3529","0.0103","2026-05-08T18:33:08Z"
"TEN","2023","1","17","6","11","0","0.3529","-3.6471","-0.0197","2026-05-08T18:33:08Z"
"WAS","2023","1","16","4","12","0","0.2500","-11.3125","-0.0397","2026-05-08T18:33:08Z"
"ARI","2024","1","15","7","8","0","0.4667","-0.4000","-0.0097","2026-05-08T18:33:10Z"
"ATL","2024","1","17","8","9","0","0.4706","-2.0000","0.0003","2026-05-08T18:33:10Z"
"BAL","2024","1","17","12","5","0","0.7059","9.2353","0.0403","2026-05-08T18:33:10Z"
"BUF","2024","1","16","13","3","0","0.8125","9.9375","0.0503","2026-05-08T18:33:10Z"
"CAR","2024","1","17","5","12","0","0.2941","-11.3529","-0.0297","2026-05-08T18:33:10Z"
"CHI","2024","1","16","4","12","0","0.2500","-4.1250","-0.0397","2026-05-08T18:33:10Z"
"CIN","2024","1","17","9","8","0","0.5294","2.2353","0.0103","2026-05-08T18:33:10Z"
"CLE","2024","1","17","3","14","0","0.1765","-10.4118","-0.0497","2026-05-08T18:33:10Z"
"DAL","2024","1","17","7","10","0","0.4118","-6.9412","-0.0097","2026-05-08T18:33:10Z"
"DEN","2024","1","17","10","7","0","0.5882","6.7059","0.0203","2026-05-08T18:33:10Z"
"DET","2024","1","16","14","2","0","0.8750","13.5000","0.0603","2026-05-08T18:33:10Z"
"GB","2024","1","16","10","6","0","0.6250","7.3125","0.0203","2026-05-08T18:33:10Z"
"HOU","2024","1","17","10","7","0","0.5882","0.0000","0.0203","2026-05-08T18:33:10Z"
"IND","2024","1","17","8","9","0","0.4706","-2.9412","0.0003","2026-05-08T18:33:10Z"
"JAX","2024","1","17","4","13","0","0.2353","-6.7647","-0.0397","2026-05-08T18:33:10Z"
"KC","2024","1","17","15","2","0","0.8824","3.4706","0.0703","2026-05-08T18:33:10Z"
"LAC","2024","1","17","11","6","0","0.6471","5.9412","0.0303","2026-05-08T18:33:10Z"
"LAR","2024","1","0","0","0","0","0.0000","0.0000","-0.0797","2026-05-08T18:33:10Z"
"LV","2024","1","16","4","12","0","0.2500","-7.5000","-0.0397","2026-05-08T18:33:10Z"
"MIA","2024","1","16","7","9","0","0.4375","-1.6875","-0.0097","2026-05-08T18:33:10Z"
"MIN","2024","1","16","14","2","0","0.8750","6.8750","0.0603","2026-05-08T18:33:10Z"
"NE","2024","1","16","4","12","0","0.2500","-7.6250","-0.0397","2026-05-08T18:33:10Z"
"NO","2024","1","16","5","11","0","0.3125","-3.3125","-0.0297","2026-05-08T18:33:10Z"
